2024-01-25 14:03:13 1 installed libcap2:amd64 1:2.44-1build3
2024-01-25 14:03:13 1 installed libkrb5support0:amd64 1.19.2-2
2024-01-25 14:03:13 1 installed hostname:amd64 3.23ubuntu2
2024-01-25 14:03:13 1 installed libpcre3:amd64 2:8.39-13build5
2024-01-25 14:03:13 1 installed libcap-ng0:amd64 0.7.9-2.2build3
2024-01-25 14:03:13 1 installed libext2fs2:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:13 1 installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2024-01-25 14:03:13 1 installed libncurses6:amd64 6.3-2
2024-01-25 14:03:13 1 installed libaudit1:amd64 1:3.0.7-1build1
2024-01-25 14:03:13 1 installed libuuid1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:13 1 installed libss2:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:13 1 installed libsepol2:amd64 3.3-1build1
2024-01-25 14:03:13 1 installed libpcre2-8-0:amd64 10.39-3build1
2024-01-25 14:03:13 1 installed libncursesw6:amd64 6.3-2
2024-01-25 14:03:13 1 installed libk5crypto3:amd64 1.19.2-2
2024-01-25 14:03:13 1 installed logsave:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:13 1 installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:13 1 installed libsystemd0:amd64 249.11-0ubuntu3
2024-01-25 14:03:13 1 installed libselinux1:amd64 3.3-1build2
2024-01-25 14:03:13 1 installed sed:amd64 4.8-1ubuntu2
2024-01-25 14:03:13 1 installed findutils:amd64 4.8.0-1ubuntu3
2024-01-25 14:03:13 1 installed libmount1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:13 1 installed libsemanage2:amd64 3.3-1build2
2024-01-25 14:03:13 1 installed libprocps8:amd64 2:3.3.17-6ubuntu2
2024-01-25 14:03:13 1 installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-01-25 14:03:13 1 installed tar:amd64 1.34+dfsg-1build3
2024-01-25 14:03:13 1 installed coreutils:amd64 8.32-4.1ubuntu1
2024-01-25 14:03:13 1 installed dpkg:amd64 1.21.1ubuntu2
2024-01-25 14:03:13 1 installed mount:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:13 1 installed grep:amd64 3.7-1build1
2024-01-25 14:03:13 1 installed perl-base:amd64 5.34.0-3ubuntu1
2024-01-25 14:03:13 1 installed init-system-helpers:all 1.62
2024-01-25 14:03:13 1 installed gzip:amd64 1.10-4ubuntu4
2024-01-25 14:03:13 1 installed usrmerge:all 25ubuntu2
2024-01-25 14:03:13 1 installed procps:amd64 2:3.3.17-6ubuntu2
2024-01-25 14:03:13 1 installed debconf:all 1.5.79ubuntu1
2024-01-25 14:03:13 1 installed libpam0g:amd64 1.4.0-11ubuntu2
2024-01-25 14:03:13 1 installed util-linux:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:14 1 installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-01-25 14:03:14 1 installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2024-01-25 14:03:14 1 installed libssl3:amd64 3.0.2-0ubuntu1
2024-01-25 14:03:14 1 installed libkrb5-3:amd64 1.19.2-2
2024-01-25 14:03:14 1 installed libgssapi-krb5-2:amd64 1.19.2-2
2024-01-25 14:03:14 1 installed libtirpc3:amd64 1.3.2-2build1
2024-01-25 14:03:14 1 installed libnsl2:amd64 1.3.0-2build2
2024-01-25 14:03:14 1 installed libpam-modules:amd64 1.4.0-11ubuntu2
2024-01-25 14:03:14 1 installed passwd:amd64 1:4.8.1-2ubuntu2
2024-01-25 14:03:14 1 installed libpam-runtime:all 1.4.0-11ubuntu2
2024-01-25 14:03:14 1 installed login:amd64 1:4.8.1-2ubuntu2
2024-01-25 14:03:14 1 installed libc-bin:amd64 2.35-0ubuntu3
2024-01-25 14:03:14 1 adduser:all <none> 3.118ubuntu5
2024-01-25 14:03:14 1 half-installed adduser:all 3.118ubuntu5
2024-01-25 14:03:14 1 apt:amd64 <none> 2.4.5
2024-01-25 14:03:14 1 half-installed apt:amd64 2.4.5
2024-01-25 14:03:14 1 gpgv:amd64 <none> 2.2.27-3ubuntu2
2024-01-25 14:03:14 1 half-installed gpgv:amd64 2.2.27-3ubuntu2
2024-01-25 14:03:14 1 libapt-pkg6.0:amd64 <none> 2.4.5
2024-01-25 14:03:14 1 half-installed libapt-pkg6.0:amd64 2.4.5
2024-01-25 14:03:14 1 libffi8:amd64 <none> 3.4.2-4
2024-01-25 14:03:14 1 half-installed libffi8:amd64 3.4.2-4
2024-01-25 14:03:14 1 libgnutls30:amd64 <none> 3.7.3-4ubuntu1
2024-01-25 14:03:14 1 half-installed libgnutls30:amd64 3.7.3-4ubuntu1
2024-01-25 14:03:14 1 libhogweed6:amd64 <none> 3.7.3-1build2
2024-01-25 14:03:14 1 half-installed libhogweed6:amd64 3.7.3-1build2
2024-01-25 14:03:14 1 libidn2-0:amd64 <none> 2.3.2-2build1
2024-01-25 14:03:14 1 half-installed libidn2-0:amd64 2.3.2-2build1
2024-01-25 14:03:14 1 libnettle8:amd64 <none> 3.7.3-1build2
2024-01-25 14:03:14 1 half-installed libnettle8:amd64 3.7.3-1build2
2024-01-25 14:03:14 1 libp11-kit0:amd64 <none> 0.24.0-6build1
2024-01-25 14:03:14 1 half-installed libp11-kit0:amd64 0.24.0-6build1
2024-01-25 14:03:14 1 libseccomp2:amd64 <none> 2.5.3-2ubuntu2
2024-01-25 14:03:14 1 half-installed libseccomp2:amd64 2.5.3-2ubuntu2
2024-01-25 14:03:14 1 libstdc++6:amd64 <none> 12-20220319-1ubuntu1
2024-01-25 14:03:14 1 half-installed libstdc++6:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:14 1 libtasn1-6:amd64 <none> 4.18.0-4build1
2024-01-25 14:03:14 1 half-installed libtasn1-6:amd64 4.18.0-4build1
2024-01-25 14:03:14 1 libunistring2:amd64 <none> 1.0-1
2024-01-25 14:03:14 1 half-installed libunistring2:amd64 1.0-1
2024-01-25 14:03:14 1 libxxhash0:amd64 <none> 0.8.1-1
2024-01-25 14:03:14 1 half-installed libxxhash0:amd64 0.8.1-1
2024-01-25 14:03:14 1 ubuntu-keyring:all <none> 2021.03.26
2024-01-25 14:03:14 1 half-installed ubuntu-keyring:all 2021.03.26
2024-01-25 14:03:15 1 installed libc-bin:amd64 2.35-0ubuntu3
2024-01-25 14:03:15 1 installed adduser:all 3.118ubuntu5
2024-01-25 14:03:15 1 installed libunistring2:amd64 1.0-1
2024-01-25 14:03:15 1 installed libidn2-0:amd64 2.3.2-2build1
2024-01-25 14:03:15 1 installed ubuntu-keyring:all 2021.03.26
2024-01-25 14:03:15 1 installed libseccomp2:amd64 2.5.3-2ubuntu2
2024-01-25 14:03:15 1 installed libnettle8:amd64 3.7.3-1build2
2024-01-25 14:03:15 1 installed libffi8:amd64 3.4.2-4
2024-01-25 14:03:15 1 installed gpgv:amd64 2.2.27-3ubuntu2
2024-01-25 14:03:15 1 installed libxxhash0:amd64 0.8.1-1
2024-01-25 14:03:15 1 installed libtasn1-6:amd64 4.18.0-4build1
2024-01-25 14:03:15 1 installed libstdc++6:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:15 1 installed libhogweed6:amd64 3.7.3-1build2
2024-01-25 14:03:15 1 installed libapt-pkg6.0:amd64 2.4.5
2024-01-25 14:03:15 1 installed libp11-kit0:amd64 0.24.0-6build1
2024-01-25 14:03:15 1 installed libgnutls30:amd64 3.7.3-4ubuntu1
2024-01-25 14:03:15 1 installed apt:amd64 2.4.5
2024-01-25 14:03:15 1 installed libc-bin:amd64 2.35-0ubuntu3
2024-01-25 14:03:17 1 half-installed adduser:all 3.118ubuntu5
2024-01-25 14:03:17 1 installed adduser:all 3.118ubuntu5
2024-01-25 14:03:19 1 half-installed apt:amd64 2.4.5
2024-01-25 14:03:19 1 installed apt:amd64 2.4.5
2024-01-25 14:03:19 1 installed libc-bin:amd64 2.35-0ubuntu3
2024-01-25 14:03:21 1 half-installed base-files:amd64 12ubuntu4
2024-01-25 14:03:21 1 installed base-files:amd64 12ubuntu4
2024-01-25 14:03:23 1 half-installed base-passwd:amd64 3.5.52build1
2024-01-25 14:03:23 1 installed base-passwd:amd64 3.5.52build1
2024-01-25 14:03:25 1 half-installed bash:amd64 5.1-6ubuntu1
2024-01-25 14:03:25 1 installed bash:amd64 5.1-6ubuntu1
2024-01-25 14:03:27 1 half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-01-25 14:03:27 1 installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-01-25 14:03:29 1 half-installed coreutils:amd64 8.32-4.1ubuntu1
2024-01-25 14:03:29 1 installed coreutils:amd64 8.32-4.1ubuntu1
2024-01-25 14:03:31 1 half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-01-25 14:03:31 1 installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-01-25 14:03:33 1 half-installed debconf:all 1.5.79ubuntu1
2024-01-25 14:03:33 1 installed debconf:all 1.5.79ubuntu1
2024-01-25 14:03:35 1 half-installed debianutils:amd64 5.5-1ubuntu2
2024-01-25 14:03:35 1 installed debianutils:amd64 5.5-1ubuntu2
2024-01-25 14:03:37 1 half-installed diffutils:amd64 1:3.8-0ubuntu2
2024-01-25 14:03:37 1 installed diffutils:amd64 1:3.8-0ubuntu2
2024-01-25 14:03:38 1 half-installed dpkg:amd64 1.21.1ubuntu2
2024-01-25 14:03:39 1 installed dpkg:amd64 1.21.1ubuntu2
2024-01-25 14:03:40 1 half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:41 1 installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:42 1 half-installed findutils:amd64 4.8.0-1ubuntu3
2024-01-25 14:03:43 1 installed findutils:amd64 4.8.0-1ubuntu3
2024-01-25 14:03:44 1 half-installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:45 1 installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:46 1 half-installed gpgv:amd64 2.2.27-3ubuntu2
